id_transaksi,tanggal,jenis_transaksi,nama_barang,gudang_asal,gudang_tujuan,jumlah_masuk,jumlah_keluar,jumlah_rusak,jumlah_hilang,jumlah_ketemu,harga_satuan,total_transaksi,metode_pembayaran,status_transaksi,catatan
TRX0497,2025-03-25,stok_adjustment,Botol 500ml,Gudang B,,0,0,86,40,0,0,0,none,selesai,Penyesuaian stok periodik
TRX0498,2025-03-26,restock,Botol 500ml,,Gudang A,219,0,0,0,0,2000,438000,cash,selesai,Restock otomatis ke Gudang A
TRX0499,2025-03-26,restock,Botol 1000ml,,Gudang A,282,0,0,0,0,3000,846000,cash,selesai,Restock otomatis ke Gudang A
TRX0500,2025-03-26,penjualan,Botol 250ml,Gudang A,,0,47,5,0,0,1800,84600,transfer,selesai,Penjualan otomatis dari Gudang A
TRX0501,2025-03-26,penjualan,Botol 330ml,Gudang D,,0,91,0,0,0,1700,154700,cash,pending,Penjualan otomatis dari Gudang D
TRX0502,2025-03-26,pindah_gudang,Botol 250ml,Gudang A,Gudang D,134,134,0,0,0,1500,0,internal,selesai,Pindah stok dari Gudang A ke Gudang D
TRX0503,2025-03-26,pindah_gudang,Botol 500ml,Gudang C,Gudang D,45,45,0,0,0,2000,0,internal,selesai,Pindah stok dari Gudang C ke Gudang D
TRX0504,2025-03-26,stok_adjustment,Botol 1000ml,Gudang C,,0,0,2,2,0,0,0,none,selesai,Penyesuaian stok periodik
TRX0505,2025-03-27,restock,Botol 1000ml,,Gudang C,249,0,0,0,0,3000,747000,transfer,selesai,Restock otomatis ke Gudang C
TRX0506,2025-03-27,restock,Botol 1000ml,,Gudang A,600,0,0,0,0,3000,1800000,cash,selesai,Restock otomatis ke Gudang A
TRX0507,2025-03-27,restock,Botol 1000ml,,Gudang C,534,0,0,0,0,3000,1602000,transfer,selesai,Restock otomatis ke Gudang C
TRX0508,2025-03-27,penjualan,Botol 250ml,Gudang B,,0,102,0,0,0,1500,153000,cash,selesai,Penjualan otomatis dari Gudang B
TRX0509,2025-03-27,penjualan,Botol 1500ml,Gudang D,,0,16,0,0,0,3500,56000,tempo,selesai,Penjualan otomatis dari Gudang D
TRX0510,2025-03-27,penjualan,Botol 330ml,Gudang D,,0,14,0,0,0,2000,28000,tempo,selesai,Penjualan otomatis dari Gudang D
TRX0511,2025-03-27,penjualan,Botol 750ml,Gudang D,,0,38,0,0,0,2600,98800,transfer,selesai,Penjualan otomatis dari Gudang D
TRX0512,2025-03-27,pindah_gudang,Botol 1000ml,Gudang C,Gudang A,200,200,0,0,0,3000,0,internal,selesai,Pindah stok dari Gudang C ke Gudang A
TRX0513,2025-03-27,pindah_gudang,Botol 330ml,Gudang D,Gudang A,84,84,0,0,0,1700,0,internal,selesai,Pindah stok dari Gudang D ke Gudang A
TRX0514,2025-03-27,stok_adjustment,Botol 330ml,Gudang A,,0,0,20,30,0,0,0,none,selesai,Penyesuaian stok periodik
TRX0515,2025-03-28,restock,Botol 600ml,,Gudang C,478,0,0,0,0,2200,1051600,transfer,selesai,Restock otomatis ke Gudang C
TRX0516,2025-03-28,restock,Botol 600ml,,Gudang B,151,0,0,0,0,2200,332200,transfer,selesai,Restock otomatis ke Gudang B
TRX0517,2025-03-28,penjualan,Botol 1500ml,Gudang D,,0,12,0,0,0,3500,42000,cash,selesai,Penjualan otomatis dari Gudang D
TRX0518,2025-03-28,penjualan,Botol 500ml,Gudang A,,0,32,1,0,0,2000,64000,non-cash,selesai,Penjualan otomatis dari Gudang A
TRX0519,2025-03-28,penjualan,Botol 1500ml,Gudang C,,0,60,0,0,0,3500,210000,transfer,pending,Penjualan otomatis dari Gudang C
TRX0520,2025-03-28,stok_adjustment,Botol 750ml,Gudang A,,0,0,27,13,0,0,0,none,selesai,Penyesuaian stok periodik
TRX0521,2025-03-29,restock,Botol 1500ml,,Gudang A,231,0,0,0,0,3500,808500,cash,selesai,Restock otomatis ke Gudang A
TRX0522,2025-03-29,restock,Botol 250ml,,Gudang B,403,0,0,0,0,1500,604500,transfer,selesai,Restock otomatis ke Gudang B
TRX0523,2025-03-29,penjualan,Botol 330ml,Gudang D,,0,19,0,0,0,2000,38000,transfer,selesai,Penjualan otomatis dari Gudang D
TRX0524,2025-03-29,penjualan,Botol 1500ml,Gudang B,,0,14,0,0,0,3800,53200,cash,selesai,Penjualan otomatis dari Gudang B
TRX0525,2025-03-29,penjualan,Botol 600ml,Gudang D,,0,10,0,0,0,2400,24000,tempo,selesai,Penjualan otomatis dari Gudang D
TRX0526,2025-03-29,penjualan,Botol 500ml,Gudang D,,0,118,4,0,0,2000,236000,non-cash,selesai,Penjualan otomatis dari Gudang D
TRX0527,2025-03-30,restock,Botol 330ml,,Gudang B,577,0,0,0,0,1700,980900,transfer,selesai,Restock otomatis ke Gudang B
TRX0528,2025-03-30,restock,Botol 750ml,,Gudang A,352,0,0,0,0,2600,915200,transfer,selesai,Restock otomatis ke Gudang A
TRX0529,2025-03-30,penjualan,Botol 330ml,Gudang D,,0,102,0,0,0,1700,173400,cash,selesai,Penjualan otomatis dari Gudang D
TRX0530,2025-03-30,penjualan,Botol 750ml,Gudang C,,0,132,0,1,0,2600,343200,non-cash,selesai,Penjualan otomatis dari Gudang C
TRX0531,2025-03-30,penjualan,Botol 330ml,Gudang A,,0,16,0,0,0,1900,30400,transfer,selesai,Penjualan otomatis dari Gudang A
TRX0532,2025-03-30,pindah_gudang,Botol 1500ml,Gudang B,Gudang A,147,147,0,0,0,3500,0,internal,selesai,Pindah stok dari Gudang B ke Gudang A
TRX0533,2025-03-30,pindah_gudang,Botol 500ml,Gudang D,Gudang C,84,84,0,0,0,2000,0,internal,selesai,Pindah stok dari Gudang D ke Gudang C
TRX0534,2025-03-30,stok_adjustment,Botol 330ml,Gudang A,,0,0,90,47,1,0,0,none,selesai,Penyesuaian stok periodik
TRX0535,2025-03-31,restock,Botol 1500ml,,Gudang C,493,0,0,0,0,3500,1725500,transfer,selesai,Restock otomatis ke Gudang C
TRX0536,2025-03-31,restock,Botol 750ml,,Gudang A,120,0,0,0,0,2600,312000,transfer,selesai,Restock otomatis ke Gudang A
TRX0537,2025-03-31,penjualan,Botol 500ml,Gudang D,,0,88,0,0,0,2000,176000,transfer,selesai,Penjualan otomatis dari Gudang D
TRX0538,2025-03-31,penjualan,Botol 1000ml,Gudang A,,0,30,0,0,0,3000,90000,transfer,selesai,Penjualan otomatis dari Gudang A
TRX0539,2025-03-31,pindah_gudang,Botol 250ml,Gudang A,Gudang C,20,20,0,0,0,1500,0,internal,selesai,Pindah stok dari Gudang A ke Gudang C
TRX0540,2025-03-31,pindah_gudang,Botol 500ml,Gudang C,Gudang A,80,80,0,0,0,2000,0,internal,selesai,Pindah stok dari Gudang C ke Gudang A
TRX0541,2025-04-01,restock,Botol 1000ml,,Gudang C,265,0,0,0,0,3000,795000,cash,selesai,Restock otomatis ke Gudang C
TRX0542,2025-04-01,restock,Botol 1000ml,,Gudang A,300,0,0,0,0,3000,900000,transfer,selesai,Restock otomatis ke Gudang A
TRX0543,2025-04-01,penjualan,Botol 600ml,Gudang C,,0,81,6,0,0,2500,202500,transfer,selesai,Penjualan otomatis dari Gudang C
TRX0544,2025-04-01,pindah_gudang,Botol 1500ml,Gudang A,Gudang B,43,43,0,0,0,3500,0,internal,selesai,Pindah stok dari Gudang A ke Gudang B
TRX0545,2025-04-01,stok_adjustment,Botol 500ml,Gudang C,,0,0,157,9,0,0,0,none,selesai,Penyesuaian stok periodik
TRX0546,2025-04-02,restock,Botol 330ml,,Gudang A,180,0,0,0,0,1700,306000,transfer,selesai,Restock otomatis ke Gudang A
TRX0547,2025-04-02,penjualan,Botol 1500ml,Gudang D,,0,10,0,0,0,3500,35000,tempo,selesai,Penjualan otomatis dari Gudang D
TRX0548,2025-04-02,penjualan,Botol 1500ml,Gudang A,,0,99,0,0,0,3500,346500,tempo,selesai,Penjualan otomatis dari Gudang A
TRX0549,2025-04-02,penjualan,Botol 500ml,Gudang D,,0,40,2,0,0,2300,92000,cash,selesai,Penjualan otomatis dari Gudang D
TRX0550,2025-04-02,penjualan,Botol 600ml,Gudang A,,0,49,0,0,0,2200,107800,cash,selesai,Penjualan otomatis dari Gudang A
TRX0551,2025-04-02,pindah_gudang,Botol 330ml,Gudang A,Gudang B,200,200,0,0,0,1700,0,internal,selesai,Pindah stok dari Gudang A ke Gudang B
TRX0552,2025-04-02,pindah_gudang,Botol 500ml,Gudang A,Gudang C,75,75,0,0,0,2000,0,internal,selesai,Pindah stok dari Gudang A ke Gudang C
TRX0553,2025-04-02,stok_adjustment,Botol 330ml,Gudang A,,0,0,35,32,0,0,0,none,selesai,Penyesuaian stok periodik
TRX0554,2025-04-03,restock,Botol 500ml,,Gudang D,208,0,0,0,0,2000,416000,cash,selesai,Restock otomatis ke Gudang D
TRX0555,2025-04-03,penjualan,Botol 750ml,Gudang B,,0,14,0,0,0,2600,36400,non-cash,selesai,Penjualan otomatis dari Gudang B
TRX0556,2025-04-03,penjualan,Botol 1000ml,Gudang C,,0,34,0,0,0,3300,112200,transfer,selesai,Penjualan otomatis dari Gudang C
TRX0557,2025-04-03,pindah_gudang,Botol 500ml,Gudang B,Gudang D,81,81,0,0,0,2000,0,internal,selesai,Pindah stok dari Gudang B ke Gudang D
TRX0558,2025-04-03,stok_adjustment,Botol 1500ml,Gudang B,,0,0,59,48,1,0,0,none,selesai,Penyesuaian stok periodik
TRX0559,2025-04-04,restock,Botol 250ml,,Gudang D,319,0,0,0,0,1500,478500,cash,selesai,Restock otomatis ke Gudang D
TRX0560,2025-04-04,restock,Botol 600ml,,Gudang B,312,0,0,0,0,2200,686400,cash,selesai,Restock otomatis ke Gudang B
TRX0561,2025-04-04,penjualan,Botol 600ml,Gudang C,,0,36,0,0,0,2400,86400,tempo,pending,Penjualan otomatis dari Gudang C
TRX0562,2025-04-04,stok_adjustment,Botol 1500ml,Gudang B,,0,0,71,39,0,0,0,none,selesai,Penyesuaian stok periodik
TRX0563,2025-04-05,restock,Botol 1500ml,,Gudang C,426,0,0,0,0,3500,1491000,transfer,selesai,Restock otomatis ke Gudang C
TRX0564,2025-04-05,restock,Botol 500ml,,Gudang D,229,0,0,0,0,2000,458000,transfer,selesai,Restock otomatis ke Gudang D
TRX0565,2025-04-05,penjualan,Botol 330ml,Gudang A,,0,18,0,0,0,1900,34200,transfer,pending,Penjualan otomatis dari Gudang A
TRX0566,2025-04-05,penjualan,Botol 750ml,Gudang C,,0,50,0,0,0,2900,145000,transfer,selesai,Penjualan otomatis dari Gudang C
TRX0567,2025-04-05,penjualan,Botol 1000ml,Gudang D,,0,18,0,0,0,3000,54000,tempo,selesai,Penjualan otomatis dari Gudang D
TRX0568,2025-04-05,penjualan,Botol 750ml,Gudang D,,0,16,0,0,0,2900,46400,transfer,selesai,Penjualan otomatis dari Gudang D
TRX0569,2025-04-06,penjualan,Botol 1500ml,Gudang B,,0,37,0,0,0,3700,136900,tempo,selesai,Penjualan otomatis dari Gudang B
TRX0570,2025-04-06,penjualan,Botol 600ml,Gudang D,,0,42,0,0,0,2500,105000,transfer,selesai,Penjualan otomatis dari Gudang D
TRX0571,2025-04-06,penjualan,Botol 600ml,Gudang A,,0,22,0,0,0,2400,52800,non-cash,selesai,Penjualan otomatis dari Gudang A
TRX0572,2025-04-06,penjualan,Botol 750ml,Gudang D,,0,10,0,0,0,2900,29000,non-cash,pending,Penjualan otomatis dari Gudang D
TRX0573,2025-04-06,pindah_gudang,Botol 750ml,Gudang A,Gudang B,110,110,0,0,0,2600,0,internal,selesai,Pindah stok dari Gudang A ke Gudang B
TRX0574,2025-04-06,pindah_gudang,Botol 750ml,Gudang B,Gudang A,194,194,0,0,0,2600,0,internal,selesai,Pindah stok dari Gudang B ke Gudang A
TRX0575,2025-04-06,stok_adjustment,Botol 500ml,Gudang B,,0,0,93,58,0,0,0,none,selesai,Penyesuaian stok periodik
TRX0576,2025-04-07,restock,Botol 600ml,,Gudang B,232,0,0,0,0,2200,510400,transfer,selesai,Restock otomatis ke Gudang B
TRX0577,2025-04-07,restock,Botol 500ml,,Gudang C,294,0,0,0,0,2000,588000,transfer,selesai,Restock otomatis ke Gudang C
TRX0578,2025-04-07,restock,Botol 1000ml,,Gudang B,235,0,0,0,0,3000,705000,transfer,selesai,Restock otomatis ke Gudang B
TRX0579,2025-04-07,penjualan,Botol 750ml,Gudang B,,0,96,0,0,0,2600,249600,tempo,pending,Penjualan otomatis dari Gudang B
TRX0580,2025-04-07,penjualan,Botol 750ml,Gudang B,,0,91,9,0,0,2900,263900,cash,selesai,Penjualan otomatis dari Gudang B
TRX0581,2025-04-07,penjualan,Botol 1000ml,Gudang A,,0,47,0,0,0,3000,141000,transfer,pending,Penjualan otomatis dari Gudang A
TRX0582,2025-04-07,pindah_gudang,Botol 1500ml,Gudang C,Gudang A,170,170,0,0,0,3500,0,internal,selesai,Pindah stok dari Gudang C ke Gudang A
TRX0583,2025-04-07,pindah_gudang,Botol 1500ml,Gudang B,Gudang C,28,28,0,0,0,3500,0,internal,selesai,Pindah stok dari Gudang B ke Gudang C
TRX0584,2025-04-07,stok_adjustment,Botol 600ml,Gudang A,,0,0,1,0,7,0,0,none,selesai,Penyesuaian stok periodik
TRX0585,2025-04-08,restock,Botol 600ml,,Gudang D,294,0,0,0,0,2200,646800,transfer,selesai,Restock otomatis ke Gudang D
TRX0586,2025-04-08,restock,Botol 1500ml,,Gudang C,436,0,0,0,0,3500,1526000,transfer,selesai,Restock otomatis ke Gudang C
TRX0587,2025-04-08,restock,Botol 1000ml,,Gudang C,186,0,0,0,0,3000,558000,cash,selesai,Restock otomatis ke Gudang C
TRX0588,2025-04-08,penjualan,Botol 750ml,Gudang A,,0,104,0,0,0,2600,270400,transfer,selesai,Penjualan otomatis dari Gudang A
TRX0589,2025-04-08,penjualan,Botol 500ml,Gudang A,,0,20,0,0,0,2000,40000,non-cash,selesai,Penjualan otomatis dari Gudang A
TRX0590,2025-04-08,penjualan,Botol 250ml,Gudang A,,0,91,2,4,0,1700,154700,transfer,selesai,Penjualan otomatis dari Gudang A
TRX0591,2025-04-08,penjualan,Botol 500ml,Gudang D,,0,72,6,0,0,2200,158400,non-cash,pending,Penjualan otomatis dari Gudang D
TRX0592,2025-04-08,stok_adjustment,Botol 250ml,Gudang B,,0,0,56,52,10,0,0,none,selesai,Penyesuaian stok periodik
TRX0593,2025-04-09,restock,Botol 600ml,,Gudang D,529,0,0,0,0,2200,1163800,transfer,selesai,Restock otomatis ke Gudang D
TRX0594,2025-04-09,restock,Botol 1500ml,,Gudang C,334,0,0,0,0,3500,1169000,transfer,selesai,Restock otomatis ke Gudang C
TRX0595,2025-04-09,penjualan,Botol 1000ml,Gudang B,,0,76,0,0,0,3000,228000,non-cash,pending,Penjualan otomatis dari Gudang B
TRX0596,2025-04-09,penjualan,Botol 1500ml,Gudang A,,0,85,0,0,0,3700,314500,tempo,pending,Penjualan otomatis dari Gudang A
TRX0597,2025-04-09,penjualan,Botol 750ml,Gudang A,,0,26,0,0,0,2600,67600,tempo,selesai,Penjualan otomatis dari Gudang A
TRX0598,2025-04-09,penjualan,Botol 1500ml,Gudang A,,0,95,0,0,0,3700,351500,tempo,selesai,Penjualan otomatis dari Gudang A
TRX0599,2025-04-09,penjualan,Botol 330ml,Gudang A,,0,26,0,0,0,1700,44200,non-cash,selesai,Penjualan otomatis dari Gudang A
TRX0600,2025-04-09,penjualan,Botol 1500ml,Gudang B,,0,88,0,0,0,3800,334400,non-cash,selesai,Penjualan otomatis dari Gudang B
TRX0601,2025-04-09,pindah_gudang,Botol 330ml,Gudang A,Gudang D,91,91,0,0,0,1700,0,internal,selesai,Pindah stok dari Gudang A ke Gudang D
TRX0602,2025-04-09,stok_adjustment,Botol 750ml,Gudang D,,0,0,1,0,0,0,0,none,selesai,Penyesuaian stok periodik
TRX0603,2025-04-10,restock,Botol 750ml,,Gudang B,204,0,0,0,0,2600,530400,transfer,selesai,Restock otomatis ke Gudang B
TRX0604,2025-04-10,penjualan,Botol 250ml,Gudang D,,0,11,0,0,0,1800,19800,cash,selesai,Penjualan otomatis dari Gudang D
TRX0605,2025-04-10,penjualan,Botol 330ml,Gudang D,,0,22,2,0,0,1900,41800,tempo,selesai,Penjualan otomatis dari Gudang D
TRX0606,2025-04-10,penjualan,Botol 750ml,Gudang A,,0,53,0,0,0,2900,153700,non-cash,selesai,Penjualan otomatis dari Gudang A
TRX0607,2025-04-10,penjualan,Botol 1000ml,Gudang D,,0,27,0,0,0,3300,89100,non-cash,selesai,Penjualan otomatis dari Gudang D
TRX0608,2025-04-10,penjualan,Botol 1500ml,Gudang C,,0,103,0,3,0,3700,381100,tempo,selesai,Penjualan otomatis dari Gudang C
TRX0609,2025-04-10,stok_adjustment,Botol 600ml,Gudang A,,0,0,2,1,0,0,0,none,selesai,Penyesuaian stok periodik
TRX0610,2025-04-11,penjualan,Botol 750ml,Gudang A,,0,80,0,0,0,2800,224000,cash,selesai,Penjualan otomatis dari Gudang A
TRX0611,2025-04-12,restock,Botol 1500ml,,Gudang B,408,0,0,0,0,3500,1428000,transfer,selesai,Restock otomatis ke Gudang B
TRX0612,2025-04-12,restock,Botol 1000ml,,Gudang C,501,0,0,0,0,3000,1503000,transfer,selesai,Restock otomatis ke Gudang C
TRX0613,2025-04-12,restock,Botol 750ml,,Gudang B,486,0,0,0,0,2600,1263600,cash,selesai,Restock otomatis ke Gudang B
TRX0614,2025-04-12,penjualan,Botol 250ml,Gudang A,,0,130,0,0,0,1500,195000,non-cash,selesai,Penjualan otomatis dari Gudang A
TRX0615,2025-04-12,penjualan,Botol 330ml,Gudang A,,0,77,1,0,0,1700,130900,non-cash,selesai,Penjualan otomatis dari Gudang A
TRX0616,2025-04-13,restock,Botol 1500ml,,Gudang A,577,0,0,0,0,3500,2019500,transfer,selesai,Restock otomatis ke Gudang A
TRX0617,2025-04-13,restock,Botol 250ml,,Gudang C,355,0,0,0,0,1500,532500,cash,selesai,Restock otomatis ke Gudang C
TRX0618,2025-04-13,penjualan,Botol 330ml,Gudang D,,0,136,0,0,0,2000,272000,transfer,selesai,Penjualan otomatis dari Gudang D
TRX0619,2025-04-13,penjualan,Botol 250ml,Gudang C,,0,115,0,0,0,1500,172500,tempo,selesai,Penjualan otomatis dari Gudang C
TRX0620,2025-04-13,stok_adjustment,Botol 1000ml,Gudang A,,0,0,175,67,0,0,0,none,selesai,Penyesuaian stok periodik
TRX0621,2025-04-14,restock,Botol 250ml,,Gudang D,348,0,0,0,0,1500,522000,transfer,selesai,Restock otomatis ke Gudang D
TRX0622,2025-04-14,restock,Botol 250ml,,Gudang C,255,0,0,0,0,1500,382500,transfer,selesai,Restock otomatis ke Gudang C
TRX0623,2025-04-14,penjualan,Botol 1500ml,Gudang A,,0,35,0,0,0,3500,122500,non-cash,selesai,Penjualan otomatis dari Gudang A
TRX0624,2025-04-14,pindah_gudang,Botol 600ml,Gudang D,Gudang A,27,27,0,0,0,2200,0,internal,selesai,Pindah stok dari Gudang D ke Gudang A
TRX0625,2025-04-14,stok_adjustment,Botol 1000ml,Gudang A,,0,0,123,68,0,0,0,none,selesai,Penyesuaian stok periodik
TRX0626,2025-04-15,restock,Botol 500ml,,Gudang A,370,0,0,0,0,2000,740000,transfer,selesai,Restock otomatis ke Gudang A
TRX0627,2025-04-15,restock,Botol 1000ml,,Gudang B,243,0,0,0,0,3000,729000,transfer,selesai,Restock otomatis ke Gudang B
TRX0628,2025-04-15,restock,Botol 750ml,,Gudang D,249,0,0,0,0,2600,647400,cash,selesai,Restock otomatis ke Gudang D
TRX0629,2025-04-15,penjualan,Botol 500ml,Gudang A,,0,39,0,3,0,2000,78000,tempo,selesai,Penjualan otomatis dari Gudang A
TRX0630,2025-04-15,penjualan,Botol 330ml,Gudang B,,0,51,0,0,0,2000,102000,non-cash,selesai,Penjualan otomatis dari Gudang B
TRX0631,2025-04-15,penjualan,Botol 600ml,Gudang D,,0,38,0,1,0,2200,83600,cash,selesai,Penjualan otomatis dari Gudang D
TRX0632,2025-04-16,restock,Botol 500ml,,Gudang B,471,0,0,0,0,2000,942000,cash,selesai,Restock otomatis ke Gudang B
TRX0633,2025-04-16,restock,Botol 1500ml,,Gudang C,555,0,0,0,0,3500,1942500,cash,selesai,Restock otomatis ke Gudang C
TRX0634,2025-04-16,penjualan,Botol 500ml,Gudang A,,0,94,0,2,0,2300,216200,non-cash,pending,Penjualan otomatis dari Gudang A
TRX0635,2025-04-16,penjualan,Botol 1000ml,Gudang A,,0,33,0,0,0,3300,108900,tempo,selesai,Penjualan otomatis dari Gudang A
TRX0636,2025-04-16,penjualan,Botol 330ml,Gudang B,,0,47,0,0,0,2000,94000,non-cash,selesai,Penjualan otomatis dari Gudang B
TRX0637,2025-04-16,penjualan,Botol 1000ml,Gudang A,,0,34,0,0,0,3000,102000,non-cash,selesai,Penjualan otomatis dari Gudang A
TRX0638,2025-04-16,penjualan,Botol 250ml,Gudang D,,0,100,0,0,0,1700,170000,non-cash,selesai,Penjualan otomatis dari Gudang D
TRX0639,2025-04-16,penjualan,Botol 750ml,Gudang D,,0,70,0,0,0,2600,182000,tempo,selesai,Penjualan otomatis dari Gudang D
TRX0640,2025-04-16,pindah_gudang,Botol 600ml,Gudang D,Gudang B,152,152,0,0,0,2200,0,internal,selesai,Pindah stok dari Gudang D ke Gudang B
TRX0641,2025-04-16,stok_adjustment,Botol 750ml,Gudang C,,0,0,2,1,9,0,0,none,selesai,Penyesuaian stok periodik
TRX0642,2025-04-17,restock,Botol 1000ml,,Gudang C,574,0,0,0,0,3000,1722000,cash,selesai,Restock otomatis ke Gudang C
TRX0643,2025-04-17,restock,Botol 1500ml,,Gudang D,219,0,0,0,0,3500,766500,transfer,selesai,Restock otomatis ke Gudang D
TRX0644,2025-04-17,penjualan,Botol 600ml,Gudang B,,0,79,0,0,0,2400,189600,cash,selesai,Penjualan otomatis dari Gudang B
TRX0645,2025-04-17,stok_adjustment,Botol 330ml,Gudang A,,0,0,19,29,9,0,0,none,selesai,Penyesuaian stok periodik
TRX0646,2025-04-18,restock,Botol 1500ml,,Gudang B,579,0,0,0,0,3500,2026500,cash,selesai,Restock otomatis ke Gudang B
TRX0647,2025-04-18,penjualan,Botol 330ml,Gudang A,,0,57,0,0,0,1700,96900,non-cash,selesai,Penjualan otomatis dari Gudang A
TRX0648,2025-04-18,penjualan,Botol 1000ml,Gudang A,,0,55,0,0,0,3000,165000,tempo,selesai,Penjualan otomatis dari Gudang A
TRX0649,2025-04-18,pindah_gudang,Botol 600ml,Gudang B,Gudang D,117,117,0,0,0,2200,0,internal,selesai,Pindah stok dari Gudang B ke Gudang D
TRX0650,2025-04-18,pindah_gudang,Botol 750ml,Gudang D,Gudang B,104,104,0,0,0,2600,0,internal,selesai,Pindah stok dari Gudang D ke Gudang B
TRX0651,2025-04-19,penjualan,Botol 600ml,Gudang C,,0,98,0,0,0,2500,245000,cash,selesai,Penjualan otomatis dari Gudang C
TRX0652,2025-04-19,pindah_gudang,Botol 250ml,Gudang B,Gudang C,177,177,0,0,0,1500,0,internal,selesai,Pindah stok dari Gudang B ke Gudang C
TRX0653,2025-04-20,restock,Botol 1500ml,,Gudang D,498,0,0,0,0,3500,1743000,transfer,selesai,Restock otomatis ke Gudang D
TRX0654,2025-04-20,penjualan,Botol 1000ml,Gudang C,,0,120,0,0,0,3000,360000,cash,selesai,Penjualan otomatis dari Gudang C
TRX0655,2025-04-20,pindah_gudang,Botol 750ml,Gudang B,Gudang C,97,97,0,0,0,2600,0,internal,selesai,Pindah stok dari Gudang B ke Gudang C
TRX0656,2025-04-20,pindah_gudang,Botol 600ml,Gudang D,Gudang B,143,143,0,0,0,2200,0,internal,selesai,Pindah stok dari Gudang D ke Gudang B
TRX0657,2025-04-21,restock,Botol 600ml,,Gudang D,162,0,0,0,0,2200,356400,transfer,selesai,Restock otomatis ke Gudang D
TRX0658,2025-04-21,restock,Botol 500ml,,Gudang C,558,0,0,0,0,2000,1116000,cash,selesai,Restock otomatis ke Gudang C
TRX0659,2025-04-21,penjualan,Botol 750ml,Gudang A,,0,72,0,0,0,2600,187200,transfer,selesai,Penjualan otomatis dari Gudang A
TRX0660,2025-04-21,penjualan,Botol 330ml,Gudang B,,0,88,0,0,0,1700,149600,tempo,pending,Penjualan otomatis dari Gudang B
TRX0661,2025-04-21,penjualan,Botol 600ml,Gudang C,,0,75,2,0,0,2400,180000,cash,selesai,Penjualan otomatis dari Gudang C
TRX0662,2025-04-21,pindah_gudang,Botol 1500ml,Gudang A,Gudang D,151,151,0,0,0,3500,0,internal,selesai,Pindah stok dari Gudang A ke Gudang D
TRX0663,2025-04-22,penjualan,Botol 1500ml,Gudang C,,0,22,2,0,0,3500,77000,transfer,selesai,Penjualan otomatis dari Gudang C
TRX0664,2025-04-22,pindah_gudang,Botol 1000ml,Gudang A,Gudang D,36,36,0,0,0,3000,0,internal,selesai,Pindah stok dari Gudang A ke Gudang D
TRX0665,2025-04-22,stok_adjustment,Botol 1500ml,Gudang A,,0,0,46,38,0,0,0,none,selesai,Penyesuaian stok periodik
TRX0666,2025-04-23,restock,Botol 330ml,,Gudang B,418,0,0,0,0,1700,710600,transfer,selesai,Restock otomatis ke Gudang B
TRX0667,2025-04-23,penjualan,Botol 1500ml,Gudang A,,0,10,1,0,0,3800,38000,tempo,pending,Penjualan otomatis dari Gudang A
TRX0668,2025-04-23,stok_adjustment,Botol 1000ml,Gudang C,,0,0,15,106,0,0,0,none,selesai,Penyesuaian stok periodik
TRX0669,2025-04-24,restock,Botol 500ml,,Gudang B,496,0,0,0,0,2000,992000,transfer,selesai,Restock otomatis ke Gudang B
TRX0670,2025-04-24,penjualan,Botol 250ml,Gudang A,,0,15,0,0,0,1800,27000,cash,pending,Penjualan otomatis dari Gudang A
TRX0671,2025-04-24,penjualan,Botol 330ml,Gudang A,,0,16,0,0,0,1700,27200,non-cash,selesai,Penjualan otomatis dari Gudang A
TRX0672,2025-04-24,penjualan,Botol 250ml,Gudang A,,0,10,0,0,0,1700,17000,cash,selesai,Penjualan otomatis dari Gudang A
TRX0673,2025-04-24,penjualan,Botol 330ml,Gudang B,,0,95,0,0,0,1700,161500,cash,selesai,Penjualan otomatis dari Gudang B
TRX0674,2025-04-24,penjualan,Botol 750ml,Gudang C,,0,13,0,0,0,2600,33800,non-cash,selesai,Penjualan otomatis dari Gudang C
TRX0675,2025-04-24,penjualan,Botol 750ml,Gudang C,,0,14,0,0,0,2900,40600,transfer,selesai,Penjualan otomatis dari Gudang C
TRX0676,2025-04-24,pindah_gudang,Botol 500ml,Gudang C,Gudang D,55,55,0,0,0,2000,0,internal,selesai,Pindah stok dari Gudang C ke Gudang D
TRX0677,2025-04-24,pindah_gudang,Botol 1000ml,Gudang C,Gudang D,111,111,0,0,0,3000,0,internal,selesai,Pindah stok dari Gudang C ke Gudang D
TRX0678,2025-04-25,restock,Botol 330ml,,Gudang D,328,0,0,0,0,1700,557600,transfer,selesai,Restock otomatis ke Gudang D
TRX0679,2025-04-25,penjualan,Botol 600ml,Gudang A,,0,26,0,0,0,2200,57200,non-cash,selesai,Penjualan otomatis dari Gudang A
TRX0680,2025-04-25,penjualan,Botol 330ml,Gudang B,,0,88,0,5,0,2000,176000,tempo,batal,Penjualan otomatis dari Gudang B
TRX0681,2025-04-25,penjualan,Botol 500ml,Gudang C,,0,74,0,0,0,2000,148000,cash,pending,Penjualan otomatis dari Gudang C
TRX0682,2025-04-26,restock,Botol 330ml,,Gudang A,339,0,0,0,0,1700,576300,cash,selesai,Restock otomatis ke Gudang A
TRX0683,2025-04-26,restock,Botol 500ml,,Gudang B,196,0,0,0,0,2000,392000,cash,selesai,Restock otomatis ke Gudang B
